categories,description,price
"Sauces and Pates","PnP Sour Cream Herb Dip 120g","R
                26
                
                    00"
"Chocolates","Nestle Aero Duet Choc 40gr","R
                7
                
                    99"
"Biltong","Pnp Beef Droewors 180g","R
                59
                
                    99"
"Bread Rolls","Pnp Bakehouse Brown Hotdog Rolls 6ea","R
                14
                
                    99"
"Vegetables","PnP Cauliflower Broccoli AndCarrots 400 ...","R
                20
                
                    99"
"Jelly Pudding & Custard","PnP Pineapple Jelly 80g","R
                4
                
                    99"
"Prepacked Meats","Enterprise Back Bacon 200g","R
                31
                
                    99"
"Breakfast Cereals","Kellogg's All Bran Flakes 750g x12","R
                449
                
                    00"
"Vinegar","PnP White Spirit Vinegar 2 Litre","R
                19
                
                    29"
"Biltong","Pnp Beef Snapsticks 80g","R
                44
                
                    99"
"Pickles And Salads","PnP Finest Greek Olive Tomato 290g","R
                69
                
                    99"
"Bread Rolls","Assorted Cocktail Roll 12ea","R
                18
                
                    99"
"Cooking Oil","PnP Canola Oil 2 Litre x12","R
                628
                
                    49"
"Yogurt","PnP Lf Smooth A/cotgan&strawberry Yo...","R
                10
                
                    90"
"Concentrated Fruit Juice","PnP Concentrated Fruit Punch 1 Litre","R
                28
                
                    49"
"Sauces & Condiments","Wellington's Squeeze Chilli Sauce 50...","R
                296
                
                    99"
"Long Life UHT Milk","Almond Breeze Milk Unsweetened 250ml","R
                9
                
                    99"
"Biscuits","Bakers Provita Multi Grain 500 GR x12","R
                424
                
                    99"
"Chicken","PnP Butchery Kosher ChickenMince","R
                179
                
                    99
                     (per kg)"
"Cooking Oil","No Name Cooking Oil 750 ML x12","R
                208
                
                    99"
"Lamb and Mutton","PnP Butchery Eastern Mutton Supreme","R
                79
                
                    99
                     (per kg)"
"Canned Vegetables","Koo Creamstyle Sweetcorn 415GR","R
                9
                
                    90"
"Ostrich","PnP Butchery Extra Trim Ostrich Neck","R
                38
                
                    99
                     (per kg)"
"Cooking Oil","PnP Extra Lite Olive Oil 500ml","R
                73
                
                    99"
"Eggs","No Name Eggs Medium 60ea","R
                79
                
                    99"
"Frozen Vegetables","PnP Butternut And Sweet PotatoChunks 1kg","R
                29
                
                    99"
"Sports And Energy Drinks","Aloe Original Diabetce Acti Bev 500 Ml x...","R
                82
                
                    99"
"Milk Flavourants","PnP Cream Soda Flavour for Milk 500g","R
                33
                
                    99"
"Cooking Oil","PnP Extra Virgin Olive Oil 500ml x12","R
                861
                
                    49"
"Frozen Fish","Lan Blue Ribbon Hake BatterPortion","R
                62
                
                    99
                     (per kg)"
"Dairy By Products","Pnp Fresh Cream 250ml x10","R
                150
                
                    49"
"Breakfast Cereals","Kellogg's All Bran Flakes 750g x10","R
                449
                
                    00"
"Cheese Bar","Clover Tussers Cheese 450g","R
                66
                
                    00"
"Long Life UHT Milk","Alpro Soy Drink Light 1 Litre","R
                42
                
                    99"
"Soups & Thickeners","PnP Chicken Noodle Soup 50g","R
                3
                
                    59"
"Yogurt","Fabulite Smooth Plain Yoghurt 1kg","R
                21
                
                    90"
"Pickles And Salads","Koo Grated & Spiced BeetrootSalad 78...","R
                25
                
                    99"
"Milk Flavourants","PnP Hot Chocolate 500g","R
                43
                
                    99"
"Chicken","PnP Butchery Kosher ChickenBraai Pack","R
                82
                
                    99
                     (per kg)"
"Breakfast Cereals","Kellogg's Rice Krispies 600g x12","R
                552
                
                    99"
"Cheese Bar","Cheese PnP Dairybelle Bulkwrap Cheddar","R
                89
                
                    00
                     (per kg)"
"Convenience Meals","PnP Super Club Sandwich","R
                34
                
                    00"
"Canned Meat","No Name Corned Meat 300g x6","R
                87
                
                    00"
