categories,description,price
"Groceries","PnP Finest Marula Honey And RooibosBalsa...","R
                47
                
                    99"
"Biltong","Pnp Beef Snapsticks 80g","R
                44
                
                    99"
"Beef","PnP Butchery Aged Porterhouse Steak","R
                159
                
                    99
                     (per kg)"
"Dried Vegetables","PnP Plain Croutons 45g","R
                10
                
                    99"
"Margarine-Fat-And Butter","Pnp 50% Fat Spread Best For Bread Brick ...","R
                10
                
                    95"
"Iced Tea and Coffee","Bos Ice Tea Apple 1 L","R
                21
                
                    99"
"Ostrich","Klein Karoo Ostrich Burgers500 GR","R
                36
                
                    99"
"Frozen Vegetables","Pnp Frozen Kids Original Hashbrown 750g","R
                51
                
                    99"
"Cheese Bar","Cheese PnP Edam Seal Cuts","R
                117
                
                    00
                     (per kg)"
"Chips And Popcorn","PnP Crispz Prawn Cocktail 100g","R
                15
                
                    29"
"Biscuits","Bakers Provita Whole Wheat 500g","R
                36
                
                    49"
"Bread","Albany Superior Standard Sliced Brown Br...","R
                12
                
                    39"
"Cheese Bar","Cheese PnP Simonsberg MediumCheddar 12mo...","R
                168
                
                    00
                     (per kg)"
"Canned Vegetables","Farmgirl Baked Beans In Tomato Sauce 410...","R
                154
                
                    99"
"Prepacked Meats","Enterprise Shoulder Bacon 200g","R
                28
                
                    99"
"Sports And Energy Drinks","Aloe Original Diabetce Acti Bev 500 Ml","R
                13
                
                    99"
"Cheese Bar","Cheese PnP Dairybelle Bulkwrap Gouda","R
                89
                
                    00
                     (per kg)"
"Ice Cream","Ola Fruttare Ice Cream Litchi 60 ML","R
                12
                
                    00"
"Confectionery","Apple Tart 20cm","R
                39
                
                    99"
"Convenience Meals","PnP Egg Mayo Sandwich","R
                22
                
                    00"
"Pork","PnP Butchery Boneless RoastGammon","R
                69
                
                    99
                     (per kg)"
"Fresh Fruit Juice","PnP 100% Pomeganate Juice 3 Litre","R
                49
                
                    99"
"Sweets","PnP Jelly Babies 50gr","R
                4
                
                    99"
"Biltong","Pnp Beef Snapstix 50g","R
                26
                
                    99"
"Dried Fruit & Nuts","PnP Almond Blanched 100g","R
                36
                
                    99"
"Salad Dressing Mayonnaise","PnP Finest Raspberry Pomegranet AndLemon...","R
                49
                
                    99"
"Chilled Fish","PnP Red Capelin Caviar 100 GR","R
                74
                
                    99"
"Lamb and Mutton","PnP Butchery Cubed Lamb","R
                149
                
                    99
                     (per kg)"
"Pasta","Maggi 2 Min Beef Noodles 73GR x40","R
                129
                
                    00"
"Chips And Popcorn","PnP Cheese & Onion Chips 125g x12","R
                127
                
                    99"
"Desserts","PnP Jelly And Custard 600g","R
                29
                
                    00"
"Rice & Couscous","PnP Basmati Rice 2kg","R
                47
                
                    99"
"Frozen Meals","PnP Chicken Samoosas 12ea","R
                26
                
                    99"
"Ostrich","Pnp Ostrich Prime Steak 500g","R
                64
                
                    99"
"Desserts","Pnp Duo Chocolate Mousse 120ml","R
                11
                
                    50"
"Eggs","No Name Large Eggs 6","R
                12
                
                    79"
"Dairy By Products","Pnp Fresh Cream 250ml","R
                15
                
                    49"
"Iced Tea and Coffee","Rose's Rtd Ice Tea Lemon 275ml","R
                10
                
                    49"
"Pizza","Pnp Bbq Chicken Bacon & MushroomPizz...","R
                55
                
                    00"
"Canned Fish","Lucky Star Pilchards In Tomato Sauce 155...","R
                9
                
                    99"
"Soups & Thickeners","PnP Chicken Noodle Instant Soup 4ea","R
                10
                
                    99"
"Concentrated Fruit Juice","PnP Lemon Juice 250ml","R
                9
                
                    99"
"Frozen Meals","PnP Vegetable Samoosas 12","R
                26
                
                    99"
"Pork","PnP Butchery Boneless Pork Leg","R
                79
                
                    99
                     (per kg)"
"Canned Meat","Bull Brand Corned Meat Chakalaka 300g","R
                19
                
                    99"
"Baking Ingredients","Snowflake Cake Flour 2.5kg x4","R
                112
                
                    49"
"Maize","PnP Maize Meal 10kg","R
                77
                
                    90"
"Canned Meat","No Name Corned Meat 300g","R
                14
                
                    50"
"Biscuits","Bahlsen Leibniz Dark Chocolate Biscuits ...","R
                24
                
                    99"
"Canned Vegetables","No Name Mixed Vegetables 410GR","R
                9
                
                    79"
"Fruit","PnP Frozen Berries Assorted 350g","R
                59
                
                    99"
"Fresh Desserts","PnP Fresh Custard Vanilla 500g","R
                17
                
                    99"
"Groceries","PnP Finest Pear And Basil Vinaigrette250...","R
                49
                
                    99"
"Chilled Fish","PnP Mackerel Herbed","R
                28
                
                    82
                     (Average)"
"Coffee Tea And Creamers","Jacobs Kronung Instant Soluble Coffee 20...","R
                640
                
                    49"
"Fresh Desserts","Clover Profiteroles Dessert 160gr","R
                32
                
                    99"
"Lamb and Mutton","PnP Butchery Bulk Lamb LoinChops","R
                137
                
                    99
                     (per kg)"
"Dried Vegetables","PnP Croutons Garlic And Herbs 55g","R
                11
                
                    99"
"Rice & Couscous","PnP Basmati Rice 2kg x10","R
                465
                
                    99"
"Chips And Popcorn","Cubbs Party Dip Biltong & Chives 30g","R
                12
                
                    99"
"Fruit","Hillcrest Black Cherries 350GR","R
                65
                
                    99"
"Dried Fruit & Nuts","PnP Almond Diced 100g","R
                36
                
                    99"
"Fresh Milk","PnP Full Cream Milk Sachet 1 Litre","R
                10
                
                    49"
"Frozen Poultry","PnP Frozen Chicken Sticks 400g","R
                29
                
                    99"
"Venison","Pnp Butchery","R
                59
                
                    99
                     (per kg)"
"Beef","PnP Butchery Beef Stroganoff","R
                99
                
                    99
                     (per kg)"
"Chocolates","Frey Chocolate Bar Dark 78% 100g","R
                39
                
                    99"
"Iced Tea and Coffee","PnP Concentrate Ice Tea PeachFlavour 1 L...","R
                28
                
                    49"
"Organic Fruit & Vegetables","Organic 4 Season Salad","R
                13
                
                    90"
"Frozen Poultry","No Name Chicken Heads And Feet 1 KG","R
                11
                
                    00"
"Vegetables","PnP Carrots Bag 500g","R
                4
                
                    99"
"Iced Tea and Coffee","Roses Rtd Ice Tea Lime 275ml x6","R
                59
                
                    99"
"Biltong","Pnp Beef Droewors 80g","R
                26
                
                    99"
"Jams & Sandwich Spreads","PnP Chocolate Spread 400 GR","R
                38
                
                    99"
"Fruit","Hillcrest Raspberries 350 GR","R
                63
                
                    99"
"Dried Fruit & Nuts","PnP Dried Prune 250g","R
                34
                
                    99"
"Powdered Drinks","Amila Fruit Cocktail 45g","R
                4
                
                    39"
"Yogurt","Parmalat Low Fat Apricot Granadilla &...","R
                18
                
                    99"
"Powdered Drinks","Amila Apple Pear Drink 45g","R
                4
                
                    39"
"Groceries","PnP Finest Fruit Dream Tea 20ea","R
                69
                
                    99"
"Margarine-Fat-And Butter","Flora Extra Light Polyunsaturated Medium...","R
                31
                
                    99"
"Baking Ingredients","PnP Cake Flour 2.5kg","R
                19
                
                    90"
"Canned Fish","PnP Finest Brisling SardineIn Soya Oil 1...","R
                24
                
                    99"
"Convenience Meals","PnP Naan Bread 2ea","R
                23
                
                    00"
"Frozen Fish","Fish PnP Whole Dorado","R
                61
                
                    99
                     (per kg)"
"Biscuits","Bakers Betta Snack Milk Chocolate And Oa...","R
                24
                
                    99"
"Dried Fruit & Nuts","PnP Almond Flaked 100g","R
                36
                
                    99"
"Canned Vegetables","Farmgirl Baked Beans In Tomato Sauce 410...","R
                79
                
                    99"
"Long Life Fruit Juice","PnP 100% Apple Blackcurrant FruitJuice 1...","R
                211
                
                    08"
"Pasta","Fatti's&moni's Spaghetti 500...","R
                9
                
                    90"
"Carbonated Fruit Juice","Appletiser 100% Sparkling Apple 1.25Litr...","R
                25
                
                    99"
"Frozen Vegetables","PnP Frozen Plain Hashbrown 600g","R
                42
                
                    99"
"Frozen Meals","Fry's Traditional Burger 320g","R
                34
                
                    99"
"Bread Rolls","PnP Bakehouse Multi Seeded Rolls WithPum...","R
                19
                
                    99"
"Dairy By Products","PnP Full Cream Maas 4 L x4","R
                178
                
                    49"
"Baking Aids","Anchor Yeast Instant Dry Yeast 10g x48","R
                181
                
                    49"
"Long Life Fruit Juice","PnP 100% Apple Blackcurrant Fruit Juice ...","R
                32
                
                    99"
"Pork","PnP Butchery Pork Kebabs InMarinade","R
                79
                
                    99
                     (per kg)"
"Coffee Tea And Creamers","Nescafe Dolce Gusto Coffee Intenso 128g","R
                89
                
                    99"
"Fruit","Hillcrest Blackberries 350 GR","R
                49
                
                    99"
"Desserts","PnP Duo Mousse 1 L","R
                34
                
                    00"
"Sweets","PnP Mini Fruit Jubes 50gr","R
                4
                
                    99"
"Vinegar","PnP White Wine Vinegar 750ml","R
                21
                
                    99"
"Groceries","PnP Finest Apple And Elderberry 20ea","R
                69
                
                    99"
"Sauces and Pates","Mediterranean Dip Roasted Red Pepper 190...","R
                40
                
                    00"
"Mineral Water","Aquelle Still Mineral Water5 L x4","R
                69
                
                    99"
"Long Life UHT Milk","PnP UHT Fat Free Milk 1 Litre x6","R
                66
                
                    90"
"Sweets","PnP Jelly Babies 125gr","R
                11
                
                    99"
"Frozen Poultry","No Name Frozen Chicken Liver500 GR","R
                15
                
                    99"
"Convenience Meals","PnP Crumbed Chicken Strips 300g","R
                50
                
                    50"
"Baking Aids","Anchor Yeast Instant Dry Yeast 10g x24","R
                90
                
                    99"
"Fruit","Pnp Frozen Trio Of Berries","R
                59
                
                    99"
"Pickles And Salads","PnP Calamata Olives 200g","R
                14
                
                    99"
"Maize","PnP Super Maize Meal 5 KG","R
                52
                
                    99"
"Coffee Tea And Creamers","Douwe Egberts Pure Gold Coffee 200g","R
                119
                
                    99"
"Long Life UHT Milk","PnP UHT Low Fat Milk 1 Litre x6","R
                66
                
                    90"
"Long Life UHT Milk","Almond Breeze Milk Original 250ml","R
                9
                
                    99"
"Maize","Ace Cream of Maize 1kg","R
                10
                
                    99"
"Groceries","PnP Finest Fig Lemon And BasilVinaigrett...","R
                49
                
                    99"
"Spices & Seasoning","Robertsons Spice For Fish Refill 80 GR x...","R
                139
                
                    00"
"Cheese Bar","Clover Traditional Plain FetaCheese 400g","R
                46
                
                    00"
"Cordials & Squashes","PnP Berry Squash 2 Litre","R
                31
                
                    99"
"Confectionery","Bakery PnP Ciabata 400g","R
                3
                
                    29"
"Spices & Seasoning","Robertsons Spice For Fish Refill 80 GR x...","R
                556
                
                    00"
"Long Life UHT Milk","PnP Soya Milk 1 Litre","R
                19
                
                    99"
"Confectionery","Assorted Instore Muffins","R
                7
                
                    59"
"Powdered Drinks","Amila Orange And Naartjie Drink 45g","R
                4
                
                    39"
"Milk Flavourants","Cafe Enrista Hot White Chocolate 10ea","R
                59
                
                    99"
"Jams & Sandwich Spreads","All Gold Super Fine Apricot Jam 900g x6","R
                157
                
                    49"
"Fresh Milk","Pnp Full Cream Fresh Milk 1 Litre","R
                12
                
                    89"
"Frozen Fish","Fish Pnp Canad Salmon","R
                126
                
                    99
                     (per kg)"
"Frozen Meals","Fry's Crispy Prawns 250g","R
                31
                
                    99"
"Carbonated Fruit Juice","Appletiser Sparkling Drink Apple 750ml","R
                26
                
                    99"
"Chips And Popcorn","PnP Cheddar Cheese Chips 125g","R
                10
                
                    99"
"Frozen Poultry","No Name Iqf Chicken BraaicutS 2 Kg","R
                45
                
                    99"
"Cooking Oil","PnP Extra Virgin Olive Oil 500ml","R
                73
                
                    99"
"Baking Aids","Anchor Yeast Instant Dry Yeast 10g x288","R
                1086
                
                    99"
"Spices & Seasoning","Robertsons Barbeque Spice Refill 128g x2...","R
                640
                
                    49"
"Eggs","No Name Extra Large Eggs 30","R
                64
                
                    95"
"Confectionery","PnP White Rosettes 40ea","R
                24
                
                    99"
"Jelly Pudding & Custard","PnP Lemon Jelly 80 GR","R
                4
                
                    99"
"Frozen Poultry","No Name Frozen Chicken Thighs 1.5 KG","R
                41
                
                    99"
"Carbonated Fruit Juice","Appletiser 100% Sparklng Apple 350ml","R
                13
                
                    99"
"Carbonated Soft Drinks","PnP Cola Can 330ml x6","R
                40
                
                    99"
"Maize","Iwisa Super Maize Meal 5 KG x4","R
                205
                
                    49"
"Biltong","Pnp Beef Droewors 50 Gr","R
                16
                
                    99"
"Baking Aids","Snowflake Bran Muffin Mix 50g","R
                13
                
                    99"
"Ice Cream","Alpine Fruiti Flow Lollies Natural 20ea","R
                41
                
                    99"
"Frozen Vegetables","PnP Butternut And Sweet PotatoChunks 1kg...","R
                349
                
                    49"
"Confectionery","PnP Meringue Nests Mini 12ea","R
                24
                
                    99"
"Iced Tea and Coffee","Fuze Tea Ready to Drink Peach 1.5 L","R
                21
                
                    99"
"Spices & Seasoning","Robertsons Ground Paprika Bottle 100ml","R
                26
                
                    99"
"Bread","Authentic Olive Ciabatta 400gr","R
                19
                
                    99"
"Ice Cream","Frankies Cinnamon Cola Lollies 90ml 5ea","R
                19
                
                    99"
"Jelly Pudding & Custard","PnP Raspberry Jelly 80g","R
                4
                
                    99"
"Chips And Popcorn","PnP Crispz Onion & Thyme 100g","R
                15
                
                    29"
"Yogurt","No Name Low Fat Banana Yoghurt 2 L","R
                35
                
                    99"
"Canned Meat","PnP Gammon Ham 450g","R
                69
                
                    99"
"Jams & Sandwich Spreads","PnP Crunchy Peanut Butter 400g","R
                19
                
                    90"
"Biscuits","Bakers Provita Whole Wheat 500g x12","R
                424
                
                    99"
"Fresh Milk","Pnp Full Cream Fresh Milk 3 Litre","R
                29
                
                    90"
"Bread","Bakery Pnp Spelt Bread","R
                32
                
                    99"
"Groceries","PnP Finest Ethiopian GroundCoffee 250g","R
                68
                
                    99"
"Ice Cream","Ola Rich'n Cream NeopolitanIce Cream...","R
                49
                
                    99"
"Fruit","Pnp Frozen Mixed Fruit 350g","R
                59
                
                    99"
"Canned Fruit","PnP Peach Slices 820g","R
                25
                
                    99"
"Cordials & Squashes","PnP Kola Tonic 750ml","R
                24
                
                    99"
"Cheese Bar","Bel Laughing Cow Plain Cheese 120g","R
                22
                
                    00"
"Rice & Couscous","PnP Basmati Rice 1kg","R
                23
                
                    99"
"Bread","Country Pies Cocktail Sausage Roll12ea","R
                28
                
                    99"
"Long Life Fruit Juice","PnP Apricot Juice 1 Litre x12","R
                211
                
                    08"
"Dairy By Products","Pnp Fresh Cream 250ml x12","R
                180
                
                    49"
"Chicken","PnP Free Range Chicken Thighs 4 Piece","R
                38
                
                    80
                     (Average)"
"Confectionery","Assorted Mini Donuts 10ea.","R
                25
                
                    99"
"Dried Fruit & Nuts","PnP Cashew Nut Roast & Salted 100g","R
                31
                
                    49"
"Milk Flavourants","PnP Chocolate Flavour For Milk 500g","R
                33
                
                    99"
"Powdered Drinks","Amila Ice Tea Raspberry 45g","R
                4
                
                    99"
"Frozen Meat","Fry's Traditional Burger 320g","R
                34
                
                    99"
"Sauces and Pates","Mediterranean Avocado Humus190g","R
                27
                
                    00"
"Lamb and Mutton","PnP Butchery Half Lamb","R
                86
                
                    99
                     (per kg)"
"Pork","PnP Butchery Boneless Mock Pork Spare Ri...","R
                59
                
                    99
                     (per kg)"
"Canned Fruit","Pick N Pay Pie Apple Segments 765g","R
                28
                
                    99"
"Fruit","Hillcrest Assorted Berries 350 GR","R
                59
                
                    99"
"Baking Aids","Nestle Caramel Treat 360g","R
                24
                
                    95"
"Cordials & Squashes","PnP Lime Cordial 750ml","R
                24
                
                    99"
"Mineral Water","Nestle Pure Life Still Mineral Water 5 L...","R
                42
                
                    99"
"Convenience Meals","PnP Chicken Roti","R
                28
                
                    50"
"Salad Dressing Mayonnaise","PnP Finest Fig Lemon And BasilVinaigrett...","R
                49
                
                    99"
"Maize","Ace Cream of Maize 2.5kg","R
                26
                
                    99"
"Convenience Meals","PnP Party Sausage Rolls 24ea","R
                55
                
                    00"
"Carbonated Soft Drinks","PnP Ginger Ale Plastic Bottle 2 Litre","R
                10
                
                    90"
"Biscuits","Bakers Provita Multi Grain 500 GR","R
                36
                
                    49"
"Mineral Water","Glaceau Vitman Flavoured WatEr Power C 5...","R
                15
                
                    29"
"Rice & Couscous","PnP White Rice 1kg","R
                15
                
                    99"
"Iced Tea and Coffee","PnP Lemon Flavoured Concentrate Ice Tea ...","R
                28
                
                    49"
"Salads","Kosher Deli PnP Feigel Kosher Coleslaw","R
                68
                
                    00
                     (per kg)"
"Sugar & Sweeteners","PnP Brown Sugar 5kg","R
                74
                
                    49"
"Biltong","Pnp Beef Droewors 350g","R
                89
                
                    99"
"Canned Fish","Lucky Star Pilchards In Hot Chilli Sauce...","R
                9
                
                    99"
"Dairy By Products","PnP Full Cream Maas 4 L","R
                45
                
                    99"
"Continental Bread","Rye Bread 400g","R
                18
                
                    99"
"Milk Flavourants","PnP Strawberry Flavour For Milk 500g","R
                33
                
                    99"
"Concentrated Fruit Juice","Pick N Pay Nectar Concentrated Mango Ora...","R
                50
                
                    49"
"Salad Dressing Mayonnaise","PnP Salad Dessing Greek 340ml","R
                21
                
                    99"
"Vinegar","PnP Balsamic Vinegar 500ml","R
                59
                
                    99"
"Sauces and Pates","Mediterranean Cream Cheese Tricolour 125...","R
                37
                
                    00"
"Breakfast Cereals","Kellogg's Corn Flakes 500g","R
                29
                
                    99"
"Spices & Seasoning","Robertsons Ground Nutmeg Bottle 100ml","R
                38
                
                    99"
"Long Life UHT Milk","PnP UHT Full Cream Milk 1 Litre","R
                11
                
                    99"
"Groceries","PnP Finest Green Tea Lemongrass 20ea","R
                69
                
                    99"
"Sauces & Condiments","Old El Paso Chunky Salsa Original Hot 22...","R
                41
                
                    99"
"Jams & Sandwich Spreads","Little Bee Honey In SqueezeBottle 375g","R
                45
                
                    99"
"Biltong","Pnp Beef Biltong Sliced 350g","R
                99
                
                    99"
"Salad Dressing Mayonnaise","Hellmann's Light Mayonnaise 428g","R
                49
                
                    99"
"Fresh Milk","Pnp Fat Free Fresh Milk 1 Litre","R
                12
                
                    89"
